name,base_price,price,product_url,product_img,product_label
"
                                                        도리퍼니처 하모니 블랙 테이블, 빈티지
                                                    "," 57,800  ","53,940",https://www.coupang.com/vp/products/2022424901?itemId=107653616&vendorItemId=71795461370&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/13/12/1/f30be79e-ace9-4c6b-a540-4d5f929c5eea.jpg,테이블
"
                                                        서우 높이조절 LPM 리빙테이블 특대 90, 블루
                                                    "," 40,700  ","29,500",https://www.coupang.com/vp/products/327951350?itemId=1049024851&vendorItemId=5514029113&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/54971238235894-2d5f401c-1e57-4339-8340-3038b4ddad6b.jpg,테이블
"
                                                        오에이데스크 접이식 사각 테이블 대, 블랙
                                                    "," 34,300  ","31,900",https://www.coupang.com/vp/products/51410197?itemId=181967375&vendorItemId=3433393959&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/327323757228459-7446e10b-ab99-449d-b773-99fe0bf81d11.jpg,테이블
"
                                                        트리팜 LPM 900 메탈실버 4단 높이조절형 하모니 테이블 특대형
                                                    "," 31,800  ","29,800",https://www.coupang.com/vp/products/285980333?itemId=906898499&vendorItemId=5271390416&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/238193570888157-4c1e8239-ad69-4bba-8469-0a4383e57ffa.jpg,테이블
"
                                                        아이캔컴퍼니 LPM 4단 높이조절 베이직 접이식테이블 900, 1개, 마블
                                                    "," 45,100  ","28,800",https://www.coupang.com/vp/products/152167524?itemId=1058151963&vendorItemId=5533125860&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/11/01/16/7/27dd48d1-039b-4871-b00a-eded98a0496d.jpg,테이블
"
                                                        아이캔컴퍼니 유러피안 LPM 블랙 라운드 접이식테이블 대
                                                    "," 28,340  ","26,400",https://www.coupang.com/vp/products/152167496?itemId=439325184&vendorItemId=4086784742&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/881099796894982-de55aa4b-2b4a-4fb4-9ad4-37c8d216f711.jpg,테이블
"
                                                        아이캔컴퍼니 LPM 4단 높이조절 베이직 접이식테이블 800, 마블
                                                    "," 39,500  ","25,800",https://www.coupang.com/vp/products/4760035821?itemId=6064042518&vendorItemId=73360919277&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mhtlplzq/ed23aa6dafec460ca70ca9399ac948e5.jpg,테이블
"
                                                        코멧 모던 스타일 테이블 790 대형, 블랙
                                                    "," 25,990  ","22,990",https://www.coupang.com/vp/products/2354065065?itemId=4084109222&vendorItemId=72068113567&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/174002267982843-b5a9e4af-0305-4657-a987-b1f0fb795f4a.jpg,테이블
"
                                                        서우 네츄럴 다용도상 중 60 x 48cm, 집성목
                                                    "," 15,900  ","15,230",https://www.coupang.com/vp/products/6238238?itemId=328365925&vendorItemId=3805228963&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/558467808991797-841b100c-63e6-4e53-8a07-8eed4473b6b8.jpg,테이블
"
                                                        THEJOA 모던테이블 800, 빈티지브라운
                                                    "," 42,140  ","39,230",https://www.coupang.com/vp/products/4564659924?itemId=5566367670&vendorItemId=72509753420&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/k40ccejq/1a316082bc3d40cdb672cc56e106095c.jpg,테이블
